timestamp,message
1711582626300,"Batch processado | [240/287]
"
1711582628743,"Batch processado | [241/287]
"
1711582631131,"Batch processado | [242/287]
"
1711582633543,"Batch processado | [243/287]
"
1711582636026,"Batch processado | [244/287]
"
1711582638413,"Batch processado | [245/287]
"
1711582640766,"Batch processado | [246/287]
"
1711582643103,"Batch processado | [247/287]
"
1711582645458,"Batch processado | [248/287]
"
1711582647835,"Batch processado | [249/287]
"
1711582650254,"Batch processado | [250/287]
"
1711582652575,"Batch processado | [251/287]
"
1711582654893,"Batch processado | [252/287]
"
1711582657280,"Batch processado | [253/287]
"
1711582659676,"Batch processado | [254/287]
"
1711582662129,"Batch processado | [255/287]
"
1711582664483,"Batch processado | [256/287]
"
1711582666851,"Batch processado | [257/287]
"
1711582669274,"Batch processado | [258/287]
"
1711582671629,"Batch processado | [259/287]
"
1711582674007,"Batch processado | [260/287]
"
1711582676542,"Batch processado | [261/287]
"
1711582678933,"Batch processado | [262/287]
"
1711582681287,"Batch processado | [263/287]
"
1711582683681,"Batch processado | [264/287]
"
1711582686093,"Batch processado | [265/287]
"
1711582688550,"Batch processado | [266/287]
"
1711582691001,"Batch processado | [267/287]
"
1711582693354,"Batch processado | [268/287]
"
1711582695745,"Batch processado | [269/287]
"
1711582698044,"Batch processado | [270/287]
"
1711582700393,"Batch processado | [271/287]
"
1711582702734,"Batch processado | [272/287]
"
1711582705051,"Batch processado | [273/287]
"
1711582707385,"Batch processado | [274/287]
"
1711582709678,"Batch processado | [275/287]
"
1711582712015,"Batch processado | [276/287]
"
1711582714401,"Batch processado | [277/287]
"
1711582716816,"Batch processado | [278/287]
"
1711582719274,"Batch processado | [279/287]
"
1711582721596,"Batch processado | [280/287]
"
1711582724013,"Batch processado | [281/287]
"
1711582726352,"Batch processado | [282/287]
"
1711582728698,"Batch processado | [283/287]
"
1711582731064,"Batch processado | [284/287]
"
1711582733447,"Batch processado | [285/287]
"
1711582735723,"Batch processado | [286/287]
"
1711582735873,"Batch processado | [287/287]
"
1711582735873,"Taxa de sucesso: 90.02%
"
1711582736029,"/opt/python/lib/python3.12/site-packages/numpy/core/fromnumeric.py:59: FutureWarning: 'DataFrame.swapaxes' is deprecated and will be removed in a future version. Please use 'DataFrame.transpose' instead.
"
1711582736029,"return bound(*args, **kwds)
"
1711582743911,"Detalhes dos filmes salvos em s3://jvitor-desafio/Raw/TMDB/JSON/2024/03/27
"
1711582743939,"END RequestId: be5cf8c6-9dfc-4ef5-ad16-8959e035c908
"
1711582743939,"REPORT RequestId: be5cf8c6-9dfc-4ef5-ad16-8959e035c908	Duration: 727606.87 ms	Billed Duration: 727607 ms	Memory Size: 2048 MB	Max Memory Used: 1167 MB	Init Duration: 3654.08 ms	
"
